codigo;municipio;casos;obitos
520005;ABADIA DE GOIAS;670;7
520010;ABADIANIA;175;12
520013;ACREUNA;985;24
520015;ADELANDIA;85;1
520017;AGUA FRIA DE GOIAS;78;
520020;AGUA LIMPA;3;
520025;AGUAS LINDAS DE GOIAS;4096;122
520030;ALEXANIA;1247;19
520050;ALOANDIA;103;5
520055;ALTO HORIZONTE;198;2
520060;ALTO PARAISO DE GOIAS;276;
520080;ALVORADA DO NORTE;294;1
520082;AMARALINA;16;
520085;AMERICANO DO BRASIL;146;3
520090;AMORINOPOLIS;59;
520110;ANAPOLIS;13893;366
520120;ANHANGUERA;18;2
520130;ANICUNS;810;17
520140;APARECIDA DE GOIANIA;37718;544
520145;APARECIDA DO RIO DOCE;100;2
520150;APORE;134;3
520160;ARACU;85;3
520170;ARAGARCAS;822;18
520180;ARAGOIANIA;393;4
520215;ARAGUAPAZ;193;6
520235;ARENOPOLIS;32;
520250;ARUANA;153;1
520260;AURILANDIA;65;1
520280;AVELINOPOLIS;108;1
520310;BALIZA;34;
520320;BARRO ALTO;574;6
520330;BELA VISTA DE GOIAS;987;17
520340;BOM JARDIM DE GOIAS;175;3
520350;BOM JESUS DE GOIAS;1006;29
520355;BONFINOPOLIS;373;9
520357;BONOPOLIS;82;1
520360;BRAZABRANTES;83;2
520380;BRITANIA;180;1
520390;BURITI ALEGRE;264;8
520393;BURITI DE GOIAS;99;1
520396;BURITINOPOLIS;55;
520400;CABECEIRAS;76;3
520410;CACHOEIRA ALTA;772;10
520420;CACHOEIRA DE GOIAS;25;
520425;CACHOEIRA DOURADA;135;2
520430;CACU;749;11
520440;CAIAPONIA;239;2
520450;CALDAS NOVAS;2166;55
520455;CALDAZINHA;103;2
520460;CAMPESTRE DE GOIAS;173;2
520465;CAMPINACU;118;
520470;CAMPINORTE;414;7
520480;CAMPO ALEGRE DE GOIAS;37;1
520485;CAMPO LIMPO DE GOIAS;35;2
520490;CAMPOS BELOS;347;7
520495;CAMPOS VERDES;43;1
520500;CARMO DO RIO VERDE;71;4
520505;CASTELANDIA;46;3
520510;CATALAO;2821;72
520520;CATURAI;117;4
520530;CAVALCANTE;70;2
520540;CERES;1038;19
520545;CEZARINA;190;8
520547;CHAPADAO DO CEU;515;7
520549;CIDADE OCIDENTAL;3362;42
520551;COCALZINHO DE GOIAS;579;14
520552;COLINAS DO SUL;76;1
520570;CORREGO DO OURO;60;1
520580;CORUMBA DE GOIAS;246;10
520590;CORUMBAIBA;103;1
520620;CRISTALINA;793;30
520630;CRISTIANOPOLIS;86;1
520640;CRIXAS;570;8
520650;CROMINIA;101;4
520660;CUMARI;57;4
520670;DAMIANOPOLIS;18;1
520680;DAMOLANDIA;89;4
520690;DAVINOPOLIS;18;
520710;DIORAMA;27;
520725;DOVERLANDIA;119;2
520735;EDEALINA;110;2
520740;EDEIA;357;7
520750;ESTRELA DO NORTE;53;
520753;FAINA;227;
520760;FAZENDA NOVA;91;
520780;FIRMINOPOLIS;175;2
520790;FLORES DE GOIAS;85;2
520800;FORMOSA;2935;66
520810;FORMOSO;29;2
520815;GAMELEIRA DE GOIAS;91;2
520830;DIVINOPOLIS DE GOIAS;82;2
520840;GOIANAPOLIS;483;10
520850;GOIANDIRA;83;3
520860;GOIANESIA;3938;96
520870;GOIANIA;67447;1730
520880;GOIANIRA;1328;31
520890;GOIAS;382;17
520910;GOIATUBA;1603;34
520915;GOUVELANDIA;158;
520920;GUAPO;537;7
520929;GUARAITA;47;4
520940;GUARANI DE GOIAS;49;
520945;GUARINOS;23;
520960;HEITORAI;50;1
520970;HIDROLANDIA;1014;22
520980;HIDROLINA;202;4
520990;IACIARA;152;3
520993;INACIOLANDIA;150;4
520995;INDIARA;359;10
521000;INHUMAS;2767;56
521010;IPAMERI;331;10
521015;IPIRANGA DE GOIAS;27;
521020;IPORA;1214;29
521030;ISRAELANDIA;71;1
521040;ITABERAI;1415;51
521056;ITAGUARI;332;7
521060;ITAGUARU;180;5
521080;ITAJA;140;6
521090;ITAPACI;442;11
521100;ITAPIRAPUA;174;4
521120;ITAPURANGA;675;21
521130;ITARUMA;129;3
521140;ITAUCU;309;8
521150;ITUMBIARA;3273;72
521160;IVOLANDIA;54;2
521170;JANDAIA;303;8
521180;JARAGUA;1018;24
521190;JATAI;4120;87
521200;JAUPACI;26;1
521205;JESUPOLIS;47;3
521210;JOVIANIA;203;3
521220;JUSSARA;625;10
521225;LAGOA SANTA;23;
521230;LEOPOLDO DE BULHOES;173;3
521250;LUZIANIA;6164;131
521260;MAIRIPOTABA;52;2
521270;MAMBAI;60;
521280;MARA ROSA;101;8
521290;MARZAGAO;38;1
521295;MATRINCHA;83;1
521300;MAURILANDIA;490;9
521305;MIMOSO DE GOIAS;59;1
521308;MINACU;618;19
521310;MINEIROS;4844;81
521340;MOIPORA;38;1
521350;MONTE ALEGRE DE GOIAS;37;
521370;MONTES CLAROS DE GOIAS;255;
521375;MONTIVIDIU;613;9
521377;MONTIVIDIU DO NORTE;24;2
521380;MORRINHOS;2103;33
521385;MORRO AGUDO DE GOIAS;70;
521390;MOSSAMEDES;87;1
521400;MOZARLANDIA;971;9
521405;MUNDO NOVO;110;2
521410;MUTUNOPOLIS;28;
521440;NAZARIO;249;4
521450;NEROPOLIS;633;27
521460;NIQUELANDIA;1163;27
521470;NOVA AMERICA;57;
521480;NOVA AURORA;52;2
521483;NOVA CRIXAS;370;7
521486;NOVA GLORIA;277;4
521487;NOVA IGUACU DE GOIAS;47;2
521490;NOVA ROMA;64;
521500;NOVA VENEZA;346;7
521520;NOVO BRASIL;62;
521523;NOVO GAMA;2343;73
521525;NOVO PLANALTO;159;1
521530;ORIZONA;275;2
521540;OURO VERDE DE GOIAS;102;4
521550;OUVIDOR;225;6
521560;PADRE BERNARDO;704;15
521565;PALESTINA DE GOIAS;74;1
521570;PALMEIRAS DE GOIAS;2542;25
521580;PALMELO;132;3
521590;PALMINOPOLIS;212;2
521600;PANAMA;99;2
521630;PARANAIGUARA;163;9
521640;PARAUNA;256;8
521645;PEROLANDIA;65;
521680;PETROLINA DE GOIAS;191;5
521690;PILAR DE GOIAS;32;2
521710;PIRACANJUBA;624;12
521720;PIRANHAS;262;16
521730;PIRENOPOLIS;278;8
521740;PIRES DO RIO;1044;36
521760;PLANALTINA;1717;54
521770;PONTALINA;508;8
521800;PORANGATU;1090;38
521805;PORTEIRAO;601;2
521810;PORTELANDIA;229;2
521830;POSSE;603;10
521839;PROFESSOR JAMIL;91;5
521850;QUIRINOPOLIS;1431;25
521860;RIALMA;516;11
521870;RIANAPOLIS;194;2
521878;RIO QUENTE;76;
521880;RIO VERDE;13139;310
521890;RUBIATABA;341;11
521900;SANCLERLANDIA;186;9
521910;SANTA BARBARA DE GOIAS;353;6
521920;SANTA CRUZ DE GOIAS;64;1
521925;SANTA FE DE GOIAS;108;
521930;SANTA HELENA DE GOIAS;3040;91
521935;SANTA ISABEL;157;4
521940;SANTA RITA DO ARAGUAIA;112;2
521945;SANTA RITA DO NOVO DESTINO;87;5
521950;SANTA ROSA DE GOIAS;43;1
521960;SANTA TEREZA DE GOIAS;34;1
521970;SANTA TEREZINHA DE GOIAS;92;4
521971;SANTO ANTONIO DA BARRA;183;4
521973;SANTO ANTONIO DE GOIAS;413;11
521975;SANTO ANTONIO DO DESCOBERTO;1236;34
521980;SAO DOMINGOS;29;
521990;SAO FRANCISCO DE GOIAS;94;3
522000;SAO JOAO D'ALIANCA;283;7
522005;SAO JOAO DA PARAUNA;10;
522010;SAO LUIS DE MONTES BELOS;1111;27
522015;SAO LUIZ DO NORTE;142;2
522020;SAO MIGUEL DO ARAGUAIA;80;12
522026;SAO MIGUEL DO PASSA QUATRO;85;2
522028;SAO PATRICIO;88;4
522040;SAO SIMAO;508;11
522045;SENADOR CANEDO;5915;112
522050;SERRANOPOLIS;227;
522060;SILVANIA;355;1
522068;SIMOLANDIA;90;1
522070;SITIO D'ABADIA;2;
522100;TAQUARAL DE GOIAS;69;2
522108;TERESINA DE GOIAS;34;
522119;TEREZOPOLIS DE GOIAS;435;6
522130;TRES RANCHOS;45;3
522140;TRINDADE;3358;149
522145;TROMBAS;31;
522150;TURVANIA;213;5
522155;TURVELANDIA;368;5
522157;UIRAPURU;10;1
522160;URUACU;1204;26
522170;URUANA;172;8
522180;URUTAI;59;1
522185;VALPARAISO DE GOIAS;7112;125
522190;VARJAO;61;1
522200;VIANOPOLIS;202;4
522205;VICENTINOPOLIS;184;7
522220;VILA BOA;62;2
522230;VILA PROPICIO;243;2
